VAPP,Vehicle Working,Time Out (1),Time In (1),Time Out (2),Time In (2),Time Out (3),Time In (3),Time Out (4),Time In (4),Fleet No,Position,Vehicle Type,Routes,Crew,Total Miles,Total Hours,Park/Idle Hours,Operator,Rate,Diagram Cost
,441,07:02,19:30,,,,,,,,,DOUBLE,4,1218 1901 1921,110.1,12:28,,    ,,
,442,06:40,00:53,,,,,,,,,DOUBLE,4A 4,1204 1998 1238 1107,181.04,18:13,,    ,,
,443,06:52,01:27,,,,,,,,,DOUBLE,4 4A,1438 1307 1902 1422 1448,171.57,18:35,,    ,,
,444,07:11,00:26,,,,,,,,,DOUBLE,4 4A,1478 1213 1445 1113,159.97,17:15,,    ,,
,445,07:54,18:17,,,,,,,,,DOUBLE,4 4A,1234 1358 1122,86.65,10:23,,    ,,
,446,05:21,20:54,,,,,,,,,DOUBLE,4 4A,1997 1022 1443 1608,149.18,15:33,,    ,,
,447,07:50,17:49,,,,,,,,,DOUBLE,404 4,1923 1920 1311,82.23,09:59,,    ,,
,448,05:34,20:01,,,,,,,,,DOUBLE,4A 404,1404 1480 1925,136.04,14:27,,    ,,
,449,07:09,18:19,,,,,,,,,DOUBLE,4,1221 1009 1907,97.37,11:10,,    ,,
,450,05:56,18:49,,,,,,,,,DOUBLE,4 4A,1902 1410 1214,124.11,12:53,,    ,,
,451,06:07,18:46,,,,,,,,,DOUBLE,4A 4,1025 1907 1283,114.69,12:39,,    ,,
,452,06:01,19:16,,,,,,,,,DOUBLE,4 4A,1903 1207 1442,126.71,13:15,,    ,,
,453,07:29,09:09,16:59,00:23,,,,,,,DOUBLE,4 4A,1224 1227 1114,85.62,09:04,07:50,    ,,
,454,05:43,09:28,14:18,18:28,,,,,,,DOUBLE,4A 404 4,1022 1908 1908,64.14,07:12,05:33,    ,,
,455,04:51,09:50,15:58,23:53,,,,,,,DOUBLE,4 4A,1998 1207 1123,122.35,12:54,06:08,    ,,
,456,06:43,10:10,15:22,20:34,,,,,,,DOUBLE,4 404,1910 1117,79.7,08:39,05:12,    ,,
,561,06:00,17:51,,,,,,,,,DOUBLE,5,1995 1475 1925 1123,108.92,11:51,,    ,,
,562,04:59,19:23,,,,,,,,,DOUBLE,5,1009 1017 1118,135.5,14:24,,    ,,
,563,07:40,23:51,,,,,,,,,DOUBLE,5,1481 1322 1206 1466,150.26,16:11,,    ,,
,564,06:27,18:21,,,,,,,,,DOUBLE,5,1326 1323 1275,108.92,11:54,,    ,,
,565,06:27,00:21,,,,,,,,,DOUBLE,5,1314 1325 1287 1328,166.31,17:54,,    ,,
,566,05:34,20:09,,,,,,,,,DOUBLE,5,1012 1286 1426 1344,136.48,14:35,,    ,,
,567,06:58,23:21,,,,,,,,,DOUBLE,5,1217 1906 1448 8001,152.96,16:23,,    ,,
,568,06:21,19:05,,,,,,,,,DOUBLE,21 5,1437 1461 1332,123.6,12:44,,    ,,
,569,05:46,19:32,,,,,,,,,DOUBLE,5,1023 1014 1230,123.51,13:46,,    ,,
,570,15:27,18:41,,,,,,,,,DOUBLE,5,1477,28.51,03:14,,    ,,
,701,07:21,18:23,,,,,,,,,SINGLE,7,1284 1306 1315,81.66,11:02,,    ,,
,702,06:01,17:35,,,,,,,,,SINGLE,7 7A,1325 1210 1121,94.54,11:34,,    ,,
,703,07:01,23:35,,,,,,,,,SINGLE,7 7A,1912 1929 1248 1423 1464,142.72,16:34,,    ,,
,704,07:41,18:59,,,,,,,,,SINGLE,7 7A,1921 1462 1107,82.58,11:18,,    ,,
,705,06:46,19:25,,,,,,,,,SINGLE,7A 7,1279 1481 1331,103.58,12:39,,    ,,
,706,07:38,01:03,,,,,,,,,SINGLE,7 7A,1480 1321 1235 1240 1332,137.76,17:25,,    ,,
,707,08:14,19:07,,,,,,,,,SINGLE,7 7A,1242 1314 1328,83.41,10:53,,    ,,
,708,06:14,18:42,,,,,,,,,SINGLE,7A 7,1201 1601 1210,103.96,12:28,,    ,,
,709,05:24,18:32,,,,,,,,,SINGLE,7 7A,1307 1471 1244 1360,107.77,13:08,,    ,,
,710,04:41,18:56,,,,,,,,,SINGLE,7 7A,1004 1238 1324 1926 1111,112.98,14:15,,    ,,
,711,06:39,19:13,,,,,,,,,SINGLE,7A 7,1439 1282 1222,103.72,12:34,,    ,,
